Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3(),Delta_t,Sum Acceleration (g),Corrected_Acc_X(m/s²),Corrected_Acc_Y(m/s²),Corrected_Acc_Z(m/s²)
1900-01-01 15:32:13.826,COM12,,"-0,097","0,011","1,0","0,366","-4,395","-0,916","-1,972","8,042","54,613","81,835","73,242","65,832","20,07",96599,"402,76",,,,,,,,,,,,,,"0,1","0,914","-1,4706467020097655","-1,2057835098767715","0,10222637575750149"
1900-01-01 15:32:13.926,COM12,,"-0,104","0,01","1,006","0,427","-2,075","-0,427","-1,763","7,712","58,239","81,588","73,203","65,650","20,07",96598,"402,84",,,,,,,,,,,,,,"0,1","0,912","-1,456243965355327","-1,179539900007258","0,1521920099890277"
1900-01-01 15:32:14.026,COM12,,"-0,101","0,011","0,998","0,0","0,0","0,0","-1,588","7,619","61,732","81,523","73,190","65,598","20,07",96599,"402,76",,,,,,,,,,,,,,"0,1","0,908","-1,367124845158168","-1,1659463430580526","0,07072068732014003"
1900-01-01 15:32:14.126,COM12,,"0,091","0,013","1,008","0,0","-0,793","-0,244","-1,412","7,531","65,039","81,484","73,190","65,585","20,12",96600,"402,67",,,,,,,,,,,,,,"0,1","1,112","0,5694521537641617","-1,1397592897308635","0,16605323396157523"
1900-01-01 15:32:14.226,COM12,,"-0,107","0,057","0,953","-2,93","1,221","2,747","-1,346","7,432","68,214","81,445","73,216","65,494","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","0,9029999999999999","-1,3065094190570135","-0,7043167468800836","-0,3759728145928971"
1900-01-01 15:32:14.326,COM12,,"-0,087","0,007","1,029","-10,376","-21,423","6,104","-1,802","5,515","71,884","80,626","73,489","64,935","20,07",96600,"402,67",,,,,,,,,,,,,,"0,1","0,949","-0,853291964767662","-0,9228742375955998","0,33472873277658444"
1900-01-01 15:32:14.425,COM12,,"0,002","-0,022","0,992","2,38","-44,189","4,089","-2,021","3,131","75,251","79,326","73,996","63,830","20,11",96600,"402,67",,,,,,,,,,,,,,"0,099","0,972","0,21785309116006019","-0,8217314755718456","-0,057743247320479085"
1900-01-01 15:32:14.524,COM12,,"0,099","0,003","1,023","1,465","-33,203","1,77","-1,89","-0,137","78,08","77,402","74,529","62,114","20,11",96600,"402,67",,,,,,,,,,,,,,"0,099","1,125","1,2925967764699382","-0,014457632381460184","0,23099479211168372"
1900-01-01 15:32:14.625,COM12,,"0,271","-0,008","1,001","5,859","-84,106","4,028","-1,582","-5,795","80,997","74,529","74,854","59,800","20,11",96600,"402,67",,,,,,,,,,,,,,"0,101","1,2639999999999998","3,08094610405871","0,8570734926960607","0,06366386536815227"
1900-01-01 15:32:14.725,COM12,,"3,032","0,001","0,937","6,409","-79,956","3,662","-1,11","-13,914","83,914","69,628","74,841","57,083","20,09",96600,"402,67",,,,,,,,,,,,,,"0,1","3,9699999999999998","30,182940703309765","2,3348901709267356","-0,32839569785156364"
1900-01-01 15:32:14.824,COM12,,"0,525","0,352","5,467","15,015","-85,754","-0,183","0,121","-23,95","86,561","63,011","74,191","55,432","20,11",96600,"402,67",,,,,,,,,,,,,,"0,099","6,343999999999999","5,36844902242872","7,429446959690067","44,66593045839573"
1900-01-01 15:32:14.926,COM12,,"0,527","0,029","0,848","1,892","-29,175","2,502","0,302","-28,098","88,846","58,838","73,879","54,938","20,12",96601,"402,58",,,,,,,,,,,,,,"0,102","1,404","5,211224084682659","4,90485456596612","-0,334825629222939"
1900-01-01 15:32:15.024,COM12,,"0,589","0,033","0,858","2,808","-31,494","2,625","0,472","-30,361","90,983","56,836","73,762","54,899","20,11",96601,"402,58",,,,,,,,,,,,,,"0,098","1,48","5,612225792618692","5,279876306950945","-0,04736893236368722"
1900-01-01 15:32:15.124,COM12,,"0,712","0,033","0,809","5,005","-65,369","4,639","0,709","-35,096","93,203","54,002","73,541","55,172","20,12",96600,"402,67",,,,,,,,,,,,,,"0,1","1,554","6,548402531982225","5,947946576880073","-0,08953799239118698"
